Department,gender,HSC,SSC,Income,Hometown,Computer,test preparation course,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall,race/ethnicity,parental level of education,lunch,math score,reading score,writing score
Computer Science and Engineering,Female,3.33,4.59,"High (Above 50,000)",City,5.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,3rd,2.75,2.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.17,5.0,"Lower middle (15,000-30,000)",Village,3.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,2nd,2.75,2.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.67,4.73,"Lower middle (15,000-30,000)",City,2.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,2nd,2.75,2.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.08,5.0,"High (Above 50,000) ",Village,3.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,2nd,2.75,2.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.34,4.69,"Lower middle (15,000-30,000) ",Village,5.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,Yes,10th,2.96,2.84,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.08,5.0,"Upper middle (30,000-50,000)",Village,4.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,9th,2.99,2.84,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.42,4.23,"Lower middle (15,000-30,000)",Village,3.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,2nd,2.86,2.86,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.5,4.73,"Lower middle (15,000-30,000)",City,2.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,2nd,2.88,2.88,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.17,5.0,"Lower middle (15,000-30,000)",City,5.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,2nd,2.88,2.88,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.75,4.69,"Lower middle (15,000-30,000)",City,4.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,10th,2.89,2.89,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.17,4.61,"Lower middle (15,000-30,000)",City,3.0,0-1 Hour,More than 3 Hours,60%-79%,No,3.0,No,8th,2.89,2.89,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.67,5.0,"Lower middle (15,000-30,000)",Village,2.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,8th,2.93,2.89,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.83,5.0,"Lower middle (15,000-30,000)",City,3.0,0-1 Hour,More than 3 Hours,60%-79%,No,3.0,No,8th,2.89,2.89,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.83,5.0,"Lower middle (15,000-30,000)",Village,4.0,0-1 Hour,More than 3 Hours,40%-59%,No,4.0,No,8th,2.6,2.9,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.5,4.56,"Upper middle (30,000-50,000)",City,3.0,0-1 Hour,More than 3 Hours,40%-59%,No,4.0,No,6th,2.5,2.9,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.76,4.0,"High (Above 50,000)",Village,4.0,0-1 Hour,More than 3 Hours,40%-59%,No,4.0,No,6th,2.56,2.9,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.5,5.0,"Lower middle (15,000-30,000)",Village,5.0,0-1 Hour,More than 3 Hours,40%-59%,No,4.0,Yes,5th,2.67,2.9,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.42,5.0,"Lower middle (15,000-30,000)",City,3.0,0-1 Hour,More than 3 Hours,40%-59%,No,3.0,No,3rd,2.67,2.9,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,5.0,"High (Above 50,000) ",Village,4.0,0-1 Hour,More than 3 Hours,40%-59%,No,4.0,No,10th,2.42,2.94,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.42,4.68,"High (Above 50,000)  ",Village,2.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,2nd,2.94,2.94,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"Upper middle (30,000-50,000)",City,3.0,0-1 Hour,2-3 Hours,80%-100%,No,3.0,No,4th,3.22,3.0,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.92,5.0,"High (Above 50,000) ",City,5.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,2nd,3.0,3.0,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.92,5.0,"Upper middle (30,000-50,000)",City,4.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,2nd,3.0,3.0,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.53,5.0,"Lower middle (15,000-30,000) ",City,2.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,2nd,3.0,3.0,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.75,5.0,"Upper middle (30,000-50,000)",Village,1.0,0-1 Hour,More than 3 Hours,60%-79%,No,1.0,No,11th,3.52,3.45,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.83,5.0,"High (Above 50,000)",City,3.0,0-1 Hour,0-1 Hour,80%-100%,No,3.0,Yes,7th,3.83,3.5,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,5.0,"Low (Below 15,000)",Village,4.0,0-1 Hour,More than 3 Hours,80%-100%,No,5.0,No,11th,3.61,3.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.92,4.89,"Lower middle (15,000-30,000)",City,3.0,0-1 Hour,2-3 Hours,80%-100%,No,3.0,No,2nd,3.75,3.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,4.83,"High (Above 50,000)",Village,4.0,0-1 Hour,2-3 Hours,80%-100%,No,4.0,No,2nd,3.75,3.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.17,4.83,"Lower middle (15,000-30,000)",City,4.0,0-1 Hour,2-3 Hours,80%-100%,No,3.0,No,2nd,3.75,3.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.5,5.0,"Lower middle (15,000-30,000)",City,3.0,0-1 Hour,2-3 Hours,80%-100%,No,3.0,No,2nd,3.75,3.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.92,5.0,"Lower middle (15,000-30,000)",City,5.0,0-1 Hour,2-3 Hours,80%-100%,No,3.0,No,2nd,3.75,3.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.42,4.77,"Low (Below 15,000)",Village,3.0,0-1 Hour,0-1 Hour,80%-100%,No,3.0,Yes,3rd,3.92,3.8,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"High (Above 50,000)",Village,3.0,0-1 Hour,0-1 Hour,80%-100%,No,3.0,Yes,2nd,3.93,3.93,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.92,5.0,"High (Above 50,000)",City,3.0,0-1 Hour,More than 3 Hours,80%-100%,No,5.0,Yes,2nd,4.0,4.0,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"Lower middle (15,000-30,000)",Village,3.0,0-1 Hour,More than 3 Hours,80%-100%,No,5.0,Yes,2nd,4.0,4.0,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"Lower middle (15,000-30,000)",City,5.0,0-1 Hour,More than 3 Hours,80%-100%,No,5.0,Yes,2nd,4.0,4.0,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.17,5.0,"Upper middle (30,000-50,000)",Village,4.0,0-1 Hour,More than 3 Hours,80%-100%,No,5.0,Yes,2nd,4.0,4.0,Missing,Missing,Missing,0,0,0
English,Female,5.0,5.0,"Low (Below 15,000)",Village,1.0,0-1 Hour,More than 3 Hours,80%-100%,No,5.0,No,3rd,3.55,3.47,Missing,Missing,Missing,0,0,0
English,Female,5.0,5.0,"Low (Below 15,000)",City,1.0,0-1 Hour,2-3 Hours,80%-100%,No,3.0,No,3rd,3.58,3.56,Missing,Missing,Missing,0,0,0
English,Female,4.25,5.0,"Lower middle (15,000-30,000)",Village,3.0,0-1 Hour,2-3 Hours,80%-100%,No,4.0,Yes,10th,3.75,3.68,Missing,Missing,Missing,0,0,0
"Journalism, Communication and Media Studies",Female,4.42,4.72,"Lower middle (15,000-30,000)",City,4.0,0-1 Hour,2-3 Hours,80%-100%,No,3.0,Yes,12th,4.0,4.0,Missing,Missing,Missing,0,0,0
Law and Human Rights,Female,3.58,4.86,"Lower middle (15,000-30,000)",Village,1.0,0-1 Hour,2-3 Hours,60%-79%,No,1.0,Yes,4th,3.9,3.79,Missing,Missing,Missing,0,0,0
Political Science,Female,4.25,3.72,"Lower middle (15,000-30,000)",Village,1.0,0-1 Hour,More than 3 Hours,80%-100%,Yes,1.0,Yes,2nd,3.68,3.68,Missing,Missing,Missing,0,0,0
Sociology,Female,4.56,3.67,"Lower middle (15,000-30,000)",City,3.0,0-1 Hour,2-3 Hours,40%-59%,No,2.0,No,2nd,3.56,3.56,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.5,4.75,"High (Above 50,000)",Village,1.0,2-3 Hours,More than 3 Hours,60%-79%,No,4.0,Yes,7th,2.25,2.25,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.5,4.75,"Lower middle (15,000-30,000)",Village,1.0,2-3 Hours,More than 3 Hours,60%-79%,No,2.0,No,10th,2.41,2.41,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.16,4.19,"Upper middle (30,000-50,000)",Village,1.0,2-3 Hours,More than 3 Hours,60%-79%,Yes,4.0,No,5th,2.75,2.55,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.5,5.0,"High (Above 50,000)",City,3.0,2-3 Hours,More than 3 Hours,80%-100%,No,3.0,Yes,11th,3.45,3.0,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,2.93,4.71,"Upper middle (30,000-50,000)",Village,4.0,2-3 Hours,More than 3 Hours,40%-59%,No,3.0,Yes,2nd,3.06,3.06,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.51,3.19,"Low (Below 15,000)",Village,3.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,9th,3.25,3.08,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.92,5.0,"Upper middle (30,000-50,000)",Village,3.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,8th,3.28,3.08,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.86,5.0,"High (Above 50,000)",Village,5.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,6th,3.25,3.08,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,5.0,"Lower middle (15,000-30,000)",City,3.0,2-3 Hours,More than 3 Hours,80%-100%,No,3.0,Yes,2nd,3.13,3.13,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.92,5.0,"High (Above 50,000)",City,5.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,8th,3.34,3.15,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.58,5.0,"High (Above 50,000) ",City,3.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,7th,3.33,3.15,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.83,5.0,"High (Above 50,000) ",Village,3.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,7th,3.33,3.15,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.5,5.0,"Upper middle (30,000-50,000)",City,3.0,2-3 Hours,2-3 Hours,60%-79%,No,4.0,No,5th,3.3,3.15,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.87,4.94,"Upper middle (30,000-50,000)",City,3.0,2-3 Hours,More than 3 Hours,40%-59%,No,5.0,Yes,7th,3.08,3.25,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.58,5.0,"Upper middle (30,000-50,000)",City,4.0,2-3 Hours,More than 3 Hours,40%-59%,No,4.0,No,6th,3.04,3.25,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,5.0,"Upper middle (30,000-50,000)",Village,5.0,2-3 Hours,More than 3 Hours,40%-59%,No,5.0,Yes,5th,3.08,3.25,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,5.0,"Low (Below 15,000) ",Village,1.0,2-3 Hours,More than 3 Hours,40%-59%,No,5.0,Yes,5th,3.08,3.25,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.83,5.0,"Upper middle (30,000-50,000)",Village,3.0,2-3 Hours,More than 3 Hours,40%-59%,No,4.0,No,3rd,3.06,3.25,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.92,4.18,"Upper middle (30,000-50,000)",City,5.0,2-3 Hours,More than 3 Hours,40%-59%,No,3.0,Yes,3rd,3.08,3.25,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.75,4.59,"Upper middle (30,000-50,000)",Village,5.0,2-3 Hours,2-3 Hours,60%-79%,No,2.0,Yes,2nd,3.25,3.25,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.25,5.0,"Lower middle (15,000-30,000)",Village,3.0,2-3 Hours,2-3 Hours,60%-79%,No,4.0,No,8th,3.43,3.27,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.14,4.63,"High (Above 50,000) ",Village,2.0,2-3 Hours,2-3 Hours,60%-79%,No,4.0,No,7th,3.47,3.27,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.75,5.0,"High (Above 50,000)",City,3.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,2nd,3.31,3.31,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.17,5.0,"Lower middle (15,000-30,000)",City,5.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,2nd,3.31,3.31,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.67,4.56,"High (Above 50,000)",City,5.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,2nd,3.31,3.31,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,4.38,"Lower middle (15,000-30,000)",City,3.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,9th,3.41,3.33,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.58,4.44,"Upper middle (30,000-50,000)",Village,5.0,2-3 Hours,2-3 Hours,60%-79%,No,2.0,Yes,8th,3.35,3.33,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.83,4.89,"High (Above 50,000) ",City,3.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,7th,3.42,3.33,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"Low (Below 15,000) ",Village,3.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,5th,3.42,3.33,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.08,5.0,"Lower middle (15,000-30,000)",City,3.0,2-3 Hours,2-3 Hours,60%-79%,No,4.0,No,2nd,3.38,3.38,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.58,5.0,"Upper middle (30,000-50,000)",Village,5.0,2-3 Hours,2-3 Hours,60%-79%,No,2.0,Yes,2nd,3.38,3.38,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.17,4.83,"Lower middle (15,000-30,000)",Village,3.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,2nd,3.38,3.38,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.83,5.0,"High (Above 50,000)",City,2.0,2-3 Hours,2-3 Hours,80%-100%,No,4.0,No,11th,3.56,3.44,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.55,5.0,"High (Above 50,000)",City,5.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,2nd,3.44,3.44,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"Lower middle (15,000-30,000)",City,4.0,2-3 Hours,More than 3 Hours,80%-100%,Yes,5.0,Yes,4th,2.07,3.5,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.67,4.61,"High (Above 50,000)",City,3.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,2nd,3.5,3.5,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.75,4.78,"Upper middle (30,000-50,000)",Village,3.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,2nd,3.5,3.5,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.33,4.94,"Lower middle (15,000-30,000)",City,5.0,2-3 Hours,2-3 Hours,60%-79%,No,3.0,No,2nd,3.5,3.5,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.17,5.0,"Upper middle (30,000-50,000) ",Village,4.0,2-3 Hours,More than 3 Hours,60%-79%,No,3.0,Yes,2nd,3.56,3.56,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.25,5.0,"Lower middle (15,000-30,000)",Village,5.0,2-3 Hours,More than 3 Hours,60%-79%,No,5.0,Yes,2nd,3.56,3.56,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.83,4.59,"Lower middle (15,000-30,000)",City,3.0,2-3 Hours,More than 3 Hours,60%-79%,No,3.0,Yes,2nd,3.56,3.56,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.17,5.0,"Low (Below 15,000) ",Village,3.0,2-3 Hours,More than 3 Hours,60%-79%,No,3.0,Yes,2nd,3.56,3.56,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,5.0,"High (Above 50,000)",City,3.0,2-3 Hours,More than 3 Hours,60%-79%,No,3.0,Yes,2nd,3.56,3.56,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.42,5.0,"High (Above 50,000) ",City,4.0,2-3 Hours,More than 3 Hours,60%-79%,No,4.0,No,2nd,3.56,3.56,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.83,5.0,"High (Above 50,000)",City,5.0,2-3 Hours,More than 3 Hours,60%-79%,No,3.0,Yes,10th,3.61,3.6,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.16,4.67,"Upper middle (30,000-50,000)",City,3.0,2-3 Hours,More than 3 Hours,80%-100%,No,3.0,Yes,10th,3.66,3.62,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.25,5.0,"Lower middle (15,000-30,000)",City,5.0,2-3 Hours,More than 3 Hours,60%-79%,No,3.0,Yes,2nd,3.63,3.63,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.75,5.0,"Low (Below 15,000)",Village,5.0,2-3 Hours,0-1 Hour,80%-100%,No,4.0,Yes,11th,3.71,3.65,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"Upper middle (30,000-50,000)",City,3.0,2-3 Hours,0-1 Hour,80%-100%,Yes,3.0,No,4th,3.6,3.65,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.67,4.38,"Upper middle (30,000-50,000)",Village,3.0,2-3 Hours,More than 3 Hours,80%-100%,No,4.0,No,8th,3.52,3.67,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"High (Above 50,000)",City,5.0,2-3 Hours,More than 3 Hours,80%-100%,No,3.0,Yes,2nd,3.68,3.68,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.25,3.75,"Lower middle (15,000-30,000)",City,5.0,2-3 Hours,More than 3 Hours,60%-79%,No,3.0,Yes,10th,3.18,3.7,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.19,4.81,"Low (Below 15,000)",Village,4.0,2-3 Hours,More than 3 Hours,80%-100%,No,4.0,No,9th,3.16,3.7,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,5.0,"Lower middle (15,000-30,000)",Village,5.0,2-3 Hours,More than 3 Hours,60%-79%,No,5.0,Yes,8th,3.19,3.7,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.8,4.78,"High (Above 50,000) ",Village,4.0,2-3 Hours,More than 3 Hours,60%-79%,No,4.0,No,6th,3.19,3.7,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.5,5.0,"Lower middle (15,000-30,000)",Village,1.0,2-3 Hours,More than 3 Hours,80%-100%,No,5.0,Yes,10th,3.68,3.74,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"Upper middle (30,000-50,000)",Village,4.0,2-3 Hours,2-3 Hours,80%-100%,No,4.0,No,10th,3.85,3.74,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,4.44,"Lower middle (15,000-30,000)",City,4.0,2-3 Hours,More than 3 Hours,80%-100%,No,4.0,No,9th,3.66,3.74,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.67,5.0,"High (Above 50,000) ",City,5.0,2-3 Hours,2-3 Hours,80%-100%,Yes,2.0,No,8th,3.87,3.74,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,5.0,"Lower middle (15,000-30,000)",Village,3.0,2-3 Hours,2-3 Hours,80%-100%,No,3.0,No,11th,3.9,3.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"Upper middle (30,000-50,000)",City,2.0,2-3 Hours,2-3 Hours,80%-100%,No,4.0,No,4th,3.66,3.76,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"Upper middle (30,000-50,000)",City,5.0,2-3 Hours,0-1 Hour,80%-100%,No,3.0,Yes,10th,3.88,3.78,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,4.61,"Lower middle (15,000-30,000)",Village,1.0,2-3 Hours,2-3 Hours,80%-100%,No,3.0,No,2nd,3.88,3.88,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.08,5.0,"Low (Below 15,000)",City,5.0,2-3 Hours,0-1 Hour,80%-100%,No,3.0,Yes,2nd,3.88,3.88,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"Lower middle (15,000-30,000)",City,2.0,2-3 Hours,0-1 Hour,80%-100%,No,3.0,Yes,2nd,3.88,3.88,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.17,5.0,"High (Above 50,000)",City,4.0,2-3 Hours,0-1 Hour,80%-100%,No,3.0,Yes,10th,3.94,3.94,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"Upper middle (30,000-50,000)",City,5.0,2-3 Hours,0-1 Hour,80%-100%,No,3.0,Yes,10th,3.97,3.94,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.3,5.0,"Upper middle (30,000-50,000)",Village,5.0,2-3 Hours,0-1 Hour,80%-100%,No,3.0,Yes,6th,3.94,3.94,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.42,5.0,"High (Above 50,000)",City,3.0,2-3 Hours,0-1 Hour,80%-100%,No,3.0,Yes,2nd,3.94,3.94,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"High (Above 50,000)",Village,5.0,2-3 Hours,0-1 Hour,80%-100%,No,3.0,Yes,2nd,3.94,3.94,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,4.68,"Lower middle (15,000-30,000)",City,5.0,2-3 Hours,0-1 Hour,80%-100%,No,3.0,Yes,2nd,3.94,3.94,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,5.0,5.0,"High (Above 50,000)",City,3.0,2-3 Hours,More than 3 Hours,80%-100%,No,4.0,No,3rd,4.0,4.0,Missing,Missing,Missing,0,0,0
English,Female,4.5,4.0,"Upper middle (30,000-50,000)",City,2.0,2-3 Hours,0-1 Hour,60%-79%,No,3.0,Yes,7th,3.33,3.33,Missing,Missing,Missing,0,0,0
