Department,gender,HSC,SSC,Income,Hometown,Computer,test preparation course,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall,race/ethnicity,parental level of education,lunch,math score,reading score,writing score,school,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,10,8,9,GP,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,no,3,3,3,1,2,2,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,10,12,12,GP,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,no,5,2,2,1,1,4,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,14,14,14,GP,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,10,10,11,GP,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,yes,yes,yes,no,5,4,3,1,2,3,2
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,14,16,16,GP,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,yes,yes,yes,yes,4,5,2,1,1,3,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,14,14,14,GP,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,yes,yes,yes,no,4,4,4,1,2,2,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,13,14,14,GP,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,8,10,10,GP,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,no,no,5,3,2,1,1,4,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,6,5,5,GP,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,no,5,5,5,2,4,5,16
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,8,10,10,GP,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,13,14,15,GP,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,12,15,15,GP,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,yes,yes,yes,no,5,4,2,1,1,5,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,15,15,16,GP,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,no,4,5,1,1,3,5,2
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,13,13,12,GP,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,no,5,4,4,2,4,5,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,10,9,8,GP,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,6,9,8,GP,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,yes,yes,no,1,2,2,1,3,5,14
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,12,12,11,GP,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,yes,yes,yes,no,4,2,2,1,2,5,2
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,15,16,15,GP,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,yes,yes,yes,no,2,2,4,2,4,1,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,11,11,11,GP,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,no,5,3,3,1,1,5,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,10,12,11,GP,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,9,11,12,GP,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,5,4,2,3,4,5,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,17,16,17,GP,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,no,4,3,1,1,1,5,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,17,16,16,GP,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,4,5,2,1,1,5,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,8,10,12,GP,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,no,yes,yes,no,5,3,2,1,1,2,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,12,14,15,GP,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,no,5,4,3,1,1,5,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,8,7,6,GP,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,no,no,3,5,1,1,1,5,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,15,16,18,GP,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,4,3,1,1,4,2
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,15,16,15,GP,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,3,1,1,5,7
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,12,12,11,GP,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,14,13,13,GP,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,7,10,11,GP,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,no,yes,yes,yes,3,3,3,1,2,3,25
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,12,12,12,GP,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,yes,yes,yes,5,4,3,2,4,5,8
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,19,18,18,GP,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,8,8,11,GP,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,yes,yes,yes,no,5,4,1,1,1,1,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,10,10,9,GP,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,no,4,3,3,2,2,5,14
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,8,8,6,GP,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,11,12,11,GP,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,yes,yes,yes,no,2,3,5,1,4,3,12
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,19,19,20,GP,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,no,4,2,2,1,1,2,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,15,15,14,GP,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,no,no,4,3,3,2,2,5,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,7,7,7,GP,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,no,yes,yes,no,4,4,4,1,1,3,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,12,13,13,GP,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,yes,yes,yes,no,4,3,3,2,3,4,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,11,13,13,GP,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,1,5,2
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,11,11,10,GP,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,8,10,11,GP,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,3,3,4,2,3,5,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,10,13,13,GP,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,yes,yes,yes,no,5,3,4,4,4,1,6
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,8,9,10,GP,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,8
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,14,15,15,GP,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,14,15,15,GP,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,no,no,3,2,2,1,1,5,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,9,10,9,GP,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,15,16,16,GP,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,no,4,2,3,1,1,5,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,10,11,11,GP,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,no,no,2,4,4,2,3,4,6
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,10,8,11,GP,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,no,yes,yes,yes,5,5,5,5,5,5,6
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,8,10,9,GP,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,no,4,4,3,1,1,1,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,10,9,9,GP,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,10,10,10,GP,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,4,2,4,2,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,16,15,15,GP,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,no,5,4,3,1,2,1,2
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,13,13,12,GP,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,no,yes,yes,yes,1,3,3,5,5,3,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,7,7,6,GP,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,yes,yes,yes,no,4,3,3,1,2,5,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,8,9,8,GP,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,yes,yes,yes,no,4,1,3,1,3,4,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,16,16,16,GP,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,no,4,4,2,2,3,3,12
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,13,15,15,GP,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,10,10,10,GP,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,8,6,5,GP,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,yes,yes,yes,3,3,4,2,4,5,2
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,12,12,14,GP,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,no,no,5,3,2,2,2,5,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,11,12,11,GP,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,9,9,10,GP,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,11,11,10,GP,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,no,3,4,3,1,1,1,8
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,11,11,11,GP,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,yes,yes,yes,yes,5,2,3,1,3,3,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,8,8,10,GP,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,no,yes,no,4,5,1,1,1,3,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,5,5,5,GP,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,no,2,4,3,1,2,3,12
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,10,12,12,GP,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,11,10,11,GP,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,yes,yes,no,5,3,2,1,2,5,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,7,6,6,GP,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,4,4,1,1,5,10
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,15,15,15,GP,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,no,5,3,3,1,3,4,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,9,10,10,GP,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,4,3,2,2,3,4,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,7,9,8,GP,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,yes,yes,yes,yes,4,4,4,2,3,5,6
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,8,7,6,GP,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,yes,yes,no,no,4,3,4,1,2,2,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,13,14,14,GP,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,3,1,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,11,10,10,GP,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,12
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,8,6,7,GP,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,no,no,4,1,3,3,5,5,18
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,7,7,8,GP,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,4,3,3,1,3,4,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,16,17,18,GP,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,7,6,6,GP,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,yes,yes,no,no,3,3,3,2,3,2,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,11,10,10,GP,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0
